Model,Mae,Mse,R2,Mape
Baseline,486.98620689655166,442344.1393103449,0.846715135176915,0.1272016164340787
GradientBoosting,668.7837108320414,1005540.4760305488,0.731595616423518,0.1734087774893924
Linear,513.9651181436118,540614.9328963697,0.7998010088296343,0.1694329943092336
