Model,Mae,Mse,R2,Mape
Baseline,2969.109090909092,11993304.590303032,0.8621599869976108,0.077730479209377
GradientBoosting,3104.9122118858986,15269738.58239537,0.6947175974164874,0.0862458017887739
Linear,2334.356103469909,8835261.702131433,0.8779303570825763,0.055197770252538546
