Model,Mae,Mse,R2,Mape
Baseline,674.0526315789474,712851.2105263158,0.8500181795616505,0.11599299594869683
GradientBoosting,852.7458392385919,1151359.5322168334,0.6278390383469697,0.1441886388997242
Linear,745.8746171880581,934108.3127124156,0.7243889150106665,0.1240951143096045
