Model,Mae,Mse,R2,Mape
Baseline,545.4068965517241,546911.7903448277,0.8274107662444903,0.09795929628652426
GradientBoosting,755.4514570457474,879296.9830683654,0.7202818467453124,0.1076051629420098
Linear,745.8746171880581,934108.3127124156,0.7243889150106665,0.1240951143096045
