Date,Gala,x1,x2,x3,x4,y
09/07/2017,7817,8951,7062,7264,7645,5544
16/07/2017,8951,7062,7264,7645,5544,7323
23/07/2017,7062,7264,7645,5544,7323,6034
30/07/2017,7264,7645,5544,7323,6034,6523
06/08/2017,7645,5544,7323,6034,6523,6160
13/08/2017,5544,7323,6034,6523,6160,5499
20/08/2017,7323,6034,6523,6160,5499,5659
27/08/2017,6034,6523,6160,5499,5659,5128
03/09/2017,6523,6160,5499,5659,5128,6108
10/09/2017,6160,5499,5659,5128,6108,5020
17/09/2017,5499,5659,5128,6108,5020,4056
24/09/2017,5659,5128,6108,5020,4056,4757
01/10/2017,5128,6108,5020,4056,4757,4629
08/10/2017,6108,5020,4056,4757,4629,4630
15/10/2017,5020,4056,4757,4629,4630,5660
22/10/2017,4056,4757,4629,4630,5660,5116
29/10/2017,4757,4629,4630,5660,5116,7094
05/11/2017,4629,4630,5660,5116,7094,4746
12/11/2017,4630,5660,5116,7094,4746,6656
19/11/2017,5660,5116,7094,4746,6656,4751
26/11/2017,5116,7094,4746,6656,4751,6263
03/12/2017,7094,4746,6656,4751,6263,7511
10/12/2017,4746,6656,4751,6263,7511,8299
17/12/2017,6656,4751,6263,7511,8299,6343
24/12/2017,4751,6263,7511,8299,6343,6962
31/12/2017,6263,7511,8299,6343,6962,22490
07/01/2018,7511,8299,6343,6962,22490,10559
14/01/2018,8299,6343,6962,22490,10559,8576
21/01/2018,6343,6962,22490,10559,8576,11798
28/01/2018,6962,22490,10559,8576,11798,10102
04/02/2018,22490,10559,8576,11798,10102,12281
11/02/2018,10559,8576,11798,10102,12281,7738
18/02/2018,8576,11798,10102,12281,7738,9200
