Date,Envi,x1,x2,x3,x4,y
11/06/2017,40251,40472,41341,41134,47772,35748
18/06/2017,40472,41341,41134,47772,35748,36290
25/06/2017,41341,41134,47772,35748,36290,36727
02/07/2017,41134,47772,35748,36290,36727,37253
09/07/2017,47772,35748,36290,36727,37253,36652
16/07/2017,35748,36290,36727,37253,36652,42285
23/07/2017,36290,36727,37253,36652,42285,45399
30/07/2017,36727,37253,36652,42285,45399,30130
06/08/2017,37253,36652,42285,45399,30130,36441
13/08/2017,36652,42285,45399,30130,36441,35147
20/08/2017,42285,45399,30130,36441,35147,29756
27/08/2017,45399,30130,36441,35147,29756,33499
03/09/2017,30130,36441,35147,29756,33499,28953
10/09/2017,36441,35147,29756,33499,28953,30893
17/09/2017,35147,29756,33499,28953,30893,49926
24/09/2017,29756,33499,28953,30893,49926,33724
01/10/2017,33499,28953,30893,49926,33724,40651
08/10/2017,28953,30893,49926,33724,40651,37876
15/10/2017,30893,49926,33724,40651,37876,31177
22/10/2017,49926,33724,40651,37876,31177,28307
29/10/2017,33724,40651,37876,31177,28307,38662
05/11/2017,40651,37876,31177,28307,38662,53166
12/11/2017,37876,31177,28307,38662,53166,46141
19/11/2017,31177,28307,38662,53166,46141,39117
26/11/2017,28307,38662,53166,46141,39117,38196
03/12/2017,38662,53166,46141,39117,38196,45937
10/12/2017,53166,46141,39117,38196,45937,49335
17/12/2017,46141,39117,38196,45937,49335,49711
24/12/2017,39117,38196,45937,49335,49711,66654
31/12/2017,38196,45937,49335,49711,66654,57481
07/01/2018,45937,49335,49711,66654,57481,48309
14/01/2018,49335,49711,66654,57481,48309,39773
21/01/2018,49711,66654,57481,48309,39773,42116
28/01/2018,66654,57481,48309,39773,42116,44454
04/02/2018,57481,48309,39773,42116,44454,28399
11/02/2018,48309,39773,42116,44454,28399,49145
18/02/2018,39773,42116,44454,28399,49145,40362
