Model,Mae,Mse,R2
Baseline,4197.785714285715,28053264.30952381,0.7401854053309418
GradientBoosting,3117.4822052501445,16993588.47973846,0.7710993498587391
Linear,2886.152780308073,14092241.656823644,0.6902184885014049
