Model,Mae,Mse,R2,Mape
Baseline,465.6756756756757,342725.35135135136,0.8988003532425421,0.1235826136959845
GradientBoosting,3117.4822052501445,16993588.47973846,0.7710993498587391,0.0
Linear,847.2398958638322,1024202.2342498314,0.5788077868818657,0.26184001767483894
